angle,chunks
37.12415576217304,0
126.57375982706597,0
123.93170992458055,0
123.99643314469148,0
119.23892846541139,0
22.006397541691566,0
31.109274228735124,0
56.591229445090164,0
37.105645456828086,0
10.905504573780696,0
66.0280600071234,0
121.81154467372585,0
110.01408754303912,0
37.82812472514049,0
154.426191303582,0
49.36085610215338,0
164.11544989384342,0
99.06580247766769,0
173.9682977133202,1
56.59322256764492,1
58.10041719621344,1
160.10338917021096,1
0.9756214258825446,1
165.0075665780901,1
32.95598369406947,1
150.71057935078613,1
52.252480874592294,1
13.667778893822566,1
105.10864635830663,1
22.70818079239222,1
88.7573094103603,1
177.35389528205909,1
60.288454179181,1
118.04511513131138,1
59.6686903482938,1
82.41215082316556,1
24.396502644149514,2
80.01214292416688,2
135.99273243933982,2
124.38457321967422,2
26.788878287709394,2
118.92558606095697,2
56.495437944288064,2
109.5758381909126,2
17.050144639332277,2
108.78566775974016,2
140.62522765183576,2
38.91305419966611,2
95.91976919030694,2
12.360279826345053,2
79.74209656242354,2
85.98017173022193,2
165.9339598933953,2
65.13927060577983,2
82.18316680196753,3
85.2268949692034,3
56.72766623933409,3
92.40743016748345,3
27.012364208229737,3
43.74044322615208,3
158.63676809263035,3
25.443736131697236,3
115.88098939767502,3
58.63849406472221,3
169.39502279483784,3
176.41189166328923,3
160.45332272944512,3
105.2182942991432,3
105.16552711630301,3
27.426697718312642,3
22.444900522182596,3
16.43135361692735,3
35.790217674467584,4
105.059148557861,4
133.0662590190216,4
29.929075450948577,4
135.97939536706673,4
136.92637448828856,4
24.061032257009657,4
125.76403981065593,4
139.67693532417826,4
70.31801889572732,4
143.89335175262767,4
26.442641785633562,4
49.22736019598349,4
50.829917198886555,4
33.984614891211464,4
40.53419209764323,4
126.530199202435,4
108.22046979160716,4
